"Timestamp","In the last 5 years, have you had sex at least once?","In the last 5 years have you ever had sex without a condom?","With how many partners were you sexually active in the last 5 years?","Which sexual behaviors did you have in the last 5 years? (Choose all applicable answers)","In the last 5 years, have you ever had sex after:(Choose all applicable answers)","Do you think that the topic of safe sex applies to everyone?","In the last 5 years, have you been tested for STD’s (sexually transmitted diseases like Syphilis, Gonorrhea (The clap), Herpes simplex (HSV1), Hepatitis B, HPV)?","In the last 5 years, have you been tested for HIV?","Where does your knowledge about sexual behaviors and practices come from? (Choose all applicable answers)","What ""Safe sex"" means for you? (Choose all applicable answers)","Sex/Gender","Your age is in the range:","What is your education level?","Your place of residence is:","What is your professional situation?","What is your sexual orientation?","What is your current relationship status?","Describing your relationships from the last 5 years and the current situation, they were:"
"2019/04/08 7:53:26 pm CET","Yes","Yes","51-100","Anal sex;Oral sex;Masturbation","Marijuana","Yes","Yes, I do it at least once a year","Yes, two or three times","School, studies, sex education;Pornography (movies, magazines);Internet;Friends, collegues;Books and scientific publications","Informing the sexual partner about the possible infection;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis)","Male","50-57","PHD and higher","City over 1 million","Employee","Homosexual","In a same-sex marriage","Mostly open"
"2019/04/08 8:07:11 pm CET","Yes","Yes","2-5","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Alcohol;Drugs","Yes","Yes, two or three times","Yes, but only once","Internet;Friends, collegues","Informing the sexual partner about the possible infection;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;use of treatment as prevention of HIV infection (TasP);personal hygiene before and after intercourse;using a condom","Male","34-41","Bachelor","City over 1 million","Freelancer - free profession","Homosexual","In a homosexal relationship","Only closed"
"2019/04/08 8:14:53 pm CET","Yes","Yes","2-5","Anal sex;Oral sex;Masturbation;Fisting","Alcohol;Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","Pornography (movies, magazines);Internet;Friends, collegues","Informing the sexual partner about the possible infection;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;use of treatment as prevention of HIV infection (TasP);personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B","Male","58-65","Vocational education","City over 1 million","Pensioner","Homosexual","Single","It's hard to say"
"2019/04/09 8:06:17 am CET","Yes","Yes","With one permanent partner","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Alcohol","Yes","No, because all of my partners were healthy","Yes, but only once","School, studies, sex education;Internet;Friends, collegues","Informing the sexual partner about the possible infection;making conscious sexual contacts;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using a condom","Male","34-41","Master's degree","City from 250 to 500 thousand","University student","Homosexual","In a homosexal relationship","Only closed"
"2019/04/09 11:12:28 am CET","Yes","Yes","21-50","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration);Fisting","Alcohol;Drugs;Marijuana;Poppers","Yes","Yes, I do it regularly more often than every 3 months","Yes, I do it regularly more often than every 3 months","School, studies, sex education;Parents, family, siblings;Pornography (movies, magazines);Internet;Friends, collegues;Books and scientific publications","Informing the sexual partner about the possible infection;using lubricants;conversation with a partner / spouse about possible risks;regular STD’s check-ups;use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using a condom;sex with one regular partner;anal and / or oral sex","Male","18-25","Vocational education","City over 1 million","Employee","Homosexual","Single","It's hard to say"
"2019/04/09 11:14:24 am CET","Yes","Yes","I do not know, I do not count that","Anal sex;Oral sex;Masturbation","Alcohol;Marijuana;Poppers","Yes","Yes, I do it regularly more often than every 3 months","Yes, I do it regularly more often than every 3 months","School, studies, sex education;Parents, family, siblings;Internet;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;regular check-ups for HIV and hepatitis B;using PrEP (pre-exposure prophylaxis)","Male","26-33","Engineer","City over 1 million","Employee","Homosexual","Single","Mostly closed"
"2019/04/09 12:40:33 pm CET","Yes","Yes","11-20","Vaginal sex;Oral sex;Masturbation","Alcohol;Drugs;Marijuana;Opioids and / or benzodiazepines (strong sedatives, antipsychotics, hypnotics, anxiolytics, antidepressants, analgesics and antitussives)","Yes","Yes, I do it at least once a year","Yes, I do it at least once a year","School, studies, sex education;Internet;Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;observation and genital self-examination;using a condom;use of contraceptives","Female","26-33","Master's degree","City from 100 to 250 thousand","Unemployed","Bisexual","Single","Only open"
"2019/04/09 12:55:29 pm CET","Yes","I don't remember","51-100","Anal sex;Oral sex;Masturbation","Alcohol;Marijuana;Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","Pornography (movies, magazines);Internet;Books and scientific publications","regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);observation and genital self-examination;personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom;use of contraceptives","Male","18-25","Engineer","City from 250 to 500 thousand","Employer","Homosexual","In a homosexal relationship","Mostly open"
"2019/04/09 2:28:00 pm CET","Yes","Yes","more than 100","Anal sex;Oral sex;Masturbation","Alcohol;Drugs;Marijuana;Opioids and / or benzodiazepines (strong sedatives, antipsychotics, hypnotics, anxiolytics, antidepressants, analgesics and antitussives);Poppers","Yes","Yes, I do it regularly every 3-6 months","No, because all of my partners were healthy","School, studies, sex education;Parents, family, siblings;Internet;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;observation and genital self-examination;using a condom;using PrEP (pre-exposure prophylaxis)","Male","26-33","PHD and higher","City over 1 million","School student","Homosexual","Single","Mostly open"
"2019/04/09 2:37:12 pm CET","Yes","Yes","6-10","Anal sex;Oral sex;Masturbation","Alcohol;Marijuana;Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","School, studies, sex education;Internet;Books and scientific publications;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;making conscious sexual contacts;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);observation and genital self-examination;use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis);sex with one regular partner","Male","42-49","PHD and higher","City over 1 million","Freelancer - free profession","Homosexual","In a same-sex marriage","Mostly closed"
