"Timestamp","Вы занимались сексом в последние 5 лет?","Занимались ли Вы сексом без презерватива (хотя бы единожды) за последние 5 лет?","С каким количеством партнеров вы были сексуально активны за последние 5 лет?","Какое сексуальное поведение у Вас было в последние 5 лет? (Выберите все подходящие ответы)","В последние 5 лет был ли у Вас хоть единожды секс после: (Выберите все подходящие ответы)","Как Вы думаете, относится ли тема безопасного секса ко всем?","Проверялись ли Вы на ЗППП (заболевания, передающиеся половым путем) за последние 5 лет? (сифилис, хламидиоз, гонорея, генитальный герпес, гепатит, ВПЧ)","За последние 5 лет проходили ли вы тестирование на ВИЧ?","Откуда Ваши знания о сексуальном поведении и практиках? (Выберите все подходящие ответы)","Что для вас означает термин «безопасный секс»? (Выберите все подходящие ответы)","Ваш пол/гендер:","Какое у Вас образование?","Ваш возраст:","Ваше место жительства:","Каков Ваш род занятий?","Какая Ваша сексуальная ориентация?","Каков текущий статус Ваших отношений?","Описывая Ваши отношения за последние 5 лет (включая текущие), они были:"
"2019/04/11 2:41:07 pm CET","Да","Нет","11-20","Вагинальный секс;Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя;наркотиков;марихуаны","Да","Нет, потому что все мои партнеры были здоровы","Нет, потому что мне это не интересно","Порнография (фильмы, журналы);Интернет;Книги и научные публикации","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;регулярные анализы на ЗППП;наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;использование PrEP (пред-контактная профилактика);использование противозачаточных средств","Мужчина","Магистр","26-33","город с населением в 1 миллион человек и выше","работник","Гетеросексуал","Одинок/а","преимущественно закрытыми"
"2019/04/11 2:59:43 pm CET","Да","Я не помню","50-100","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения);Cbt","алкоголя;марихуаны;попперса","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, я делаю это регулярно каждые 3-6 месяцев","Порнография (фильмы, журналы);Интернет;Книги и научные публикации;Врач, медсестра, акушерка","использование дезинфицирующих средств для кожи и слизистых оболочек;использование одноразовых расходников для так называемого химсекса;установление сознательных сексуальных контактов;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика);наблюдение и самоосмотр гениталий;использование АРТ (антиретровирусной терапии);личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;использование PrEP (пред-контактная профилактика);использование противозачаточных средств","Мужчина","инженер","18-25","город с населением от 100 до 250 тысяч человек","работодатель","Гомосексуал","Одинок/а","преимущественно открытыми"
"2019/04/11 3:00:20 pm CET","Да","Да","6-10","Анальный секс;Оральный секс;Мастурбация","алкоголя","Да","Да, я делаю это регулярно чаще, чем каждые 3 месяца","Да, два или три раза","Школа, учеба, половое образование;Интернет;Друзья, сотрудники","регулярные анализы на ЗППП;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Мужчина","Профессионально-техническое образование","18-25","посёлок","безработный","Бисексуал","Одинок/а","сложно сказать"
"2019/04/11 3:07:15 pm CET","Да","Да","20-50","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, я делаю это регулярно каждые 3-6 месяцев","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники;Книги и научные публикации;Врач, медсестра, акушерка","уведомление сексуального партнёра о возможной инфекции;использование дезинфицирующих средств для кожи и слизистых оболочек;установление сознательных сексуальных контактов;использование лубриканта;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Мужчина","Бакалавр","34-41","город с населением в 1 миллион человек и выше","работник","Гомосексуал","Одинок/а","только закрытыми"
"2019/04/11 3:09:20 pm CET","Да","Да","11-20","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения);Фистинг","алкоголя;попперса","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, я делаю это регулярно каждые 3-6 месяцев","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники","использование дезинфицирующих средств для кожи и слизистых оболочек;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика);наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;использование PrEP (пред-контактная профилактика)","Мужчина","инженер","34-41","город с населением в 1 миллион человек и выше","работник","Гомосексуал","В гомосексуальных отношениях","преимущественно закрытыми"
"2019/04/11 3:09:24 pm CET","Да","Да","2-5","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения);Фистинг","алкоголя;наркотиков;попперса","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, я делаю это регулярно каждые 3-6 месяцев","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники","уведомление сексуального партнёра о возможной инфекции;использование дезинфицирующих средств для кожи и слизистых оболочек;установление сознательных сексуальных контактов;использование лубриканта;разговор с партнером/супругом о возможных рисках;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика);наблюдение и самоосмотр гениталий;использование АРТ (антиретровирусной терапии);личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;использование PrEP (пред-контактная профилактика)","Мужчина","Магистр","26-33","город с населением от 500 000 до 1 миллиона человек","работник","Гомосексуал","Одинок/а","сложно сказать"
"2019/04/11 3:10:22 pm CET","Да","Да","20-50","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя;наркотиков;марихуаны;попперса","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, я делаю это регулярно каждые 3-6 месяцев","Школа, учеба, половое образование;Родители, семья, братья и сёстры;Интернет","использование дезинфицирующих средств для кожи и слизистых оболочек;установление сознательных сексуальных контактов;использование лубриканта;регулярные анализы на ЗППП;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Мужчина","Бакалавр","18-25","город с населением в 1 миллион человек и выше","работник","Гомосексуал","Одинок/а","преимущественно закрытыми"
"2019/04/11 3:21:40 pm CET","Да","Я не помню","2-5","Анальный секс;Оральный секс;Мастурбация;Фистинг","алкоголя;попперса","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это, по крайней мере, один раз в год.","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники","уведомление сексуального партнёра о возможной инфекции;использование лубриканта;регулярные анализы на ЗППП;регулярные проверки на ВИЧ и гепатит В;использование презервативов","Мужчина","Средняя школа","42-49","город с населением в 1 миллион человек и выше","работник","Гомосексуал","В гомосексуальных отношениях","преимущественно закрытыми"
"2019/04/11 3:33:55 pm CET","Да","Да","Я не знаю, я не считаю это","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это, по крайней мере, один раз в год.","Интернет","использование дезинфицирующих средств для кожи и слизистых оболочек;установление сознательных сексуальных контактов;регулярные анализы на ЗППП;регулярные проверки на ВИЧ и гепатит В;использование презервативов;использование PrEP (пред-контактная профилактика);секс с одним постоянным партнером","Мужчина","Магистр","26-33","город с населением в 1 миллион человек и выше","работник","Гомосексуал","В однополом браке","преимущественно закрытыми"
"2019/04/11 3:46:03 pm CET","Да","Да","6-10","Анальный секс;Оральный секс;Мастурбация","попперса","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, я делаю это регулярно каждые 3-6 месяцев","Родители, семья, братья и сёстры;Порнография (фильмы, журналы);Интернет;Друзья, сотрудники","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;использование лубриканта;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Мужчина","Магистр","26-33","город с населением в 1 миллион человек и выше","работник","Гомосексуал","В однополом партнерстве","преимущественно закрытыми"
"2019/04/11 5:32:43 pm CET","Да","Да","6-10","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя;наркотиков;марихуаны;попперса","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это, по крайней мере, один раз в год.","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники;Книги и научные публикации;Врач, медсестра, акушерка","использование дезинфицирующих средств для кожи и слизистых оболочек;разговор с партнером/супругом о возможных рисках;регулярные анализы на ЗППП;наблюдение и самоосмотр гениталий;использование презервативов;секс с одним постоянным партнером","Мужчина","Магистр","26-33","город с населением в 1 миллион человек и выше","работник","Гомосексуал","В гомосексуальных отношениях","преимущественно закрытыми"
"2019/04/11 5:33:15 pm CET","Да","Да","2-5","Вагинальный секс;Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя","Да","Да, два или три раза","Да, однажды","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники;Книги и научные публикации","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером;использование противозачаточных средств","Женщина","Профессионально-техническое образование","26-33","город с населением в 1 миллион человек и выше","работник","Бисексуал","В партнерстве","преимущественно закрытыми"
"2019/04/11 8:04:24 pm CET","Да","Да","20-50","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя;наркотиков","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это, по крайней мере, один раз в год.","Интернет;Друзья, сотрудники;Врач, медсестра, акушерка","уведомление сексуального партнёра о возможной инфекции;личная гигиена до и после полового акта;использование презервативов","Мужчина","Бакалавр","26-33","город с населением в 1 миллион человек и выше","фрилансер - свободная профессия","Гомосексуал","Одинок/а","только закрытыми"
