"Timestamp","Negli ultimi 5 anni hai fatto sesso?","Hai mai fatto sesso senza preservativo negli ultimi 5 anni?","Negli ultimi 5 anni con quante persone hai avuto rapporti sessuali?","Che comportamento sessuale hai avuto negli ultimi 5 anni? (Scegli quante risposte pensi che siano giuste)","Negli ultimi 5 anni hai fatto sesso dopo: (Scegli quante risposte si rivolgono alle tue esperienze)","Pensi che l'argomento del sesso sicuro riguardi tutti?","Hai fatto test per malattie sessualmente trasmesse negli ultimi 5 anni? (sifilide, clamidia, gonorrea, herpes genitale, epatite, hpv)","Hai fatto test per l'HIV negli ultimi 5 anni?","Da dove viene la tua conoscenza dei comportamenti e delle pratiche sessuali? (Scegli tutte le risposte che riguardano la tua situazione)","Cosa significa ""sesso sicuro"" per te? (Scegli tutte le risposte che riguardano la tua situazione)","Sesso","Che educazione hai?","La tua età è nella gamma:","Il tuo luogo di residenza è:","Qual è la tua situazione professionale?","Qual è il tuo orientamento sessuale?","Qual è il tuo attuale stato di relazione?","Le tue relazioni negli ultimi 5 anni e la tua situazione attuale, erano:"
"2019/04/13 8:36:49 am CET","Sì","Sì","6-10","Sesso vaginale;Sesso orale;Masturbazione","alcool","Sì","No, perché tutti / -tutte i miei / le mie partner erano sani / sane","No, perché tutti / -tutte i miei / le mie partner erano sani / sane","Internet","fare contatti sessuali consapevoli","Uomo","Medio","58-65","Città fino a 50 mila","Pensionato","Eterosessuale","In una relazione eterosessuale","Per lo più chiuse"
"2019/04/17 1:47:23 pm CET","Sì","Sì","con un partner permanente","Sesso vaginale;Sesso orale;Masturbazione","nessuno dei precedenti","Sì","No, perché non mi interessa","No, perché non mi interessa","Internet","fare contatti sessuali consapevoli;igiene personale prima e dopo il rapporto sessuale;usando un preservativo;sesso con un partner regolare","Uomo","Professionale di base","26-33","Città fino a 50 mila","Dipendente","Eterosessuale","In una relazione eterosessuale","Chiuse"
"2019/04/17 3:35:30 pm CET","Sì","Sì","con un partner permanente","Sesso vaginale;Sesso orale;Masturbazione;Petting (rapporto senza penetrazione orale, anale e vaginale)","alcool;marijuana;nessuno dei precedenti","Sì","No, non devo farlo perché sono stato un partner permanente da oltre 5 anni","No, non devo farlo perché sono stato un partner permanente da oltre 5 anni","Scuola, studi, educazione sessuale;Genitori, famiglia, fratelli;Pornografia (film, riviste);Internet;Amici, colleghi","fare contatti sessuali consapevoli;igiene personale prima e dopo il rapporto sessuale;usando un preservativo;sesso con un partner regolare;uso di contraccettivi","Uomo","Ingegnere","26-33","Città fino a 50 mila","Dipendente","Eterosessuale","In matrimonio","Chiuse"
"2019/04/17 4:07:16 pm CET","Sì","Sì","21-50","Sesso anale;Sesso orale;Masturbazione;Petting (rapporto senza penetrazione orale, anale e vaginale)","nessuno dei precedenti","Sì","Sì, lo faccio almeno una volta all'anno.","Sì, lo faccio almeno una volta all'anno.","Pornografia (film, riviste);Internet;Amici, colleghi;Libri e pubblicazioni scientifiche","Informare il partner sessuale della possibile infezione con una malattia venerea;fare contatti sessuali consapevoli;conversazione con un partner / coniuge sui possibili rischi;conversazione con un partner sessuale prima e / o dopo il rapporto sessuale;test di controllo periodici per malattie veneree;osservazione e autoesame genitale;igiene personale prima e dopo il rapporto sessuale;controlli regolari per l'HIV e l'epatite B;usando un preservativo","Uomo","Dottorato e superiore","26-33","Città di 1 milione","Dipendente","Omosessuale","Singolo","Chiuse"
"2019/04/17 4:39:10 pm CET","Sì","Sì","21-50","Sesso anale;Sesso orale;Masturbazione;Petting (rapporto senza penetrazione orale, anale e vaginale)","alcool;nessuno dei precedenti","Sì","Sì, lo faccio regolarmente ogni 3-6 mesi","Sì, lo faccio regolarmente ogni 3-6 mesi","Pornografia (film, riviste);Internet","Informare il partner sessuale della possibile infezione con una malattia venerea;uso di disinfettanti sulla pelle e sulle mucose;fare contatti sessuali consapevoli;conversazione con un partner / coniuge sui possibili rischi;conversazione con un partner sessuale prima e / o dopo il rapporto sessuale;test di controllo periodici per malattie veneree;utilizzando PEP (profilassi post-esposizione immediata);controlli regolari per l'HIV e l'epatite B;usando un preservativo","Uomo","Laurea magistrale","26-33","Città da 500.000 a 1 milione","Dipendente","Omosessuale","In una relazione di affiliazione dello stesso sesso","Per lo più aperte"
"2019/04/17 8:49:31 pm CET","Sì","Sì","2-5","Sesso anale;Masturbazione;Petting (rapporto senza penetrazione orale, anale e vaginale)","nessuno dei precedenti","Sì","No, perché tutti / -tutte i miei / le mie partner erano sani / sane","No, perché tutti / -tutte i miei / le mie partner erano sani / sane","Pornografia (film, riviste);Internet","Informare il partner sessuale della possibile infezione con una malattia venerea;fare contatti sessuali consapevoli;conversazione con un partner / coniuge sui possibili rischi;igiene personale prima e dopo il rapporto sessuale;sesso con un partner regolare","Uomo","Medio","26-33","Città da 50 a 100 mila","Dipendente","Omosessuale","In una relazione omosessuale","Chiuse"
"2019/04/17 9:35:41 pm CET","Sì","Sì","con un partner permanente","Sesso vaginale;Sesso orale;Masturbazione","nessuno dei precedenti","Sì","No, perché tutti / -tutte i miei / le mie partner erano sani / sane","No, perché sono sano. Lo so perché non c'è niente di sbagliato","Pornografia (film, riviste);Internet;Dottore, infermiera, ostetrica","Informare il partner sessuale della possibile infezione con una malattia venerea;fare contatti sessuali consapevoli;conversazione con un partner / coniuge sui possibili rischi","Donna","Laurea magistrale","26-33","Villagio","Disoccupati","Eterosessuale","In matrimonio","Chiuse"
"2019/04/17 10:11:02 pm CET","Sì","Sì","21-50","Sesso anale;Sesso orale;Masturbazione","marijuana;poppers","Sì","Sì, lo faccio regolarmente più spesso di ogni 3 mesi","Sì, lo faccio regolarmente più spesso di ogni 3 mesi","Pornografia (film, riviste);Amici, colleghi","Informare il partner sessuale della possibile infezione con una malattia venerea;utilizzo di lubrificanti;conversazione con un partner / coniuge sui possibili rischi;test di controllo periodici per malattie veneree;utilizzando PEP (profilassi post-esposizione immediata);osservazione e autoesame genitale;uso del trattamento come prevenzione dell'infezione da HIV (TasP);controlli regolari per l'HIV e l'epatite B;usare un condom;utilizzo di PrEP (profilassi pre-esposizione)","Uomo","Dottorato e superiore","26-33","Città di 1 milione","Dipendente","Omosessuale","Singolo","Per lo più aperte"
"2019/04/18 7:30:13 am CET","Sì","No","6-10","Sesso vaginale;Sesso orale;Masturbazione;Petting (rapporto senza penetrazione orale, anale e vaginale)","alcool","Sì","Sì, ma solo una volta","Sì, ma solo una volta","Internet;Amici, colleghi","Informare il partner sessuale della possibile infezione con una malattia venerea;fare contatti sessuali consapevoli;conversazione con un partner / coniuge sui possibili rischi;conversazione con un partner sessuale prima e / o dopo il rapporto sessuale;test di controllo periodici per malattie veneree;controlli regolari per l'HIV e l'epatite B;usare un condom;uso di contraccettivi","Donna","Dottorato e superiore","26-33","Città da 100 a 250 mila","Dipendente","Eterosessuale","In una relazione eterosessuale","Chiuse"
"2019/04/18 8:29:49 am CET","Sì","Sì","con un partner permanente","Sesso vaginale;Sesso anale;Sesso orale;Masturbazione;Petting (rapporto senza penetrazione orale, anale e vaginale)","nessuno dei precedenti","Sì","No, non devo farlo perché sono stato un partner permanente da oltre 5 anni","No, non devo farlo perché sono stato un partner permanente da oltre 5 anni","Pornografia (film, riviste);Internet;Amici, colleghi","Informare il partner sessuale della possibile infezione con una malattia venerea;igiene personale prima e dopo il rapporto sessuale;usare un condom;uso di contraccettivi","Donna","Laurea","26-33","Città da 50 a 100 mila","Libero professionista - libera professione","Eterosessuale","In una relazione eterosessuale","Chiuse"
"2019/04/21 1:43:04 pm CET","Sì","Sì","con un partner permanente","Sesso vaginale;Sesso orale;Masturbazione;Petting (rapporto senza penetrazione orale, anale e vaginale)","nessuno dei precedenti","Sì","Sì, ma solo una volta","No, non devo farlo perché sono stato un partner permanente da oltre 5 anni","Scuola, studi, educazione sessuale;Genitori, famiglia, fratelli;Internet","Informare il partner sessuale della possibile infezione con una malattia venerea;conversazione con un partner / coniuge sui possibili rischi;igiene personale prima e dopo il rapporto sessuale;usare un condom","Donna","Dottorato e superiore","26-33","Città fino a 50 mila","Dipendente","Eterosessuale","In una relazione eterosessuale","Chiuse"
"2019/06/15 4:18:27 pm CET","Sì","Sì","6-10","Sesso anale;Sesso orale;Masturbazione;Petting (rapporto senza penetrazione orale, anale e vaginale);Rimming","nessuno dei precedenti","Sì","Sì, lo faccio almeno una volta all'anno.","Sì, lo faccio almeno una volta all'anno.","Internet;Libri e pubblicazioni scientifiche","Informare il partner sessuale della possibile infezione con una malattia venerea;test di controllo periodici per malattie veneree;igiene personale prima e dopo il rapporto sessuale;controlli regolari per l'HIV e l'epatite B;usare un condom;sesso con un partner regolare","Uomo","Laurea","42-49","Città fino a 50 mila","Dipendente","Omosessuale","In una relazione omosessuale","È difficile da dire"
"2019/06/17 5:05:09 am CET","Sì","No","2-5","Sesso vaginale;Sesso anale;Sesso orale;Masturbazione","nessuno dei precedenti","Sì","Sì, lo faccio almeno una volta all'anno.","Sì, ma solo una volta","Scuola, studi, educazione sessuale;Genitori, famiglia, fratelli;Internet;Libri e pubblicazioni scientifiche","Informare il partner sessuale della possibile infezione con una malattia venerea;test di controllo periodici per malattie veneree;igiene personale prima e dopo il rapporto sessuale;controlli regolari per l'HIV e l'epatite B;uso di contraccettivi","Donna","Professionale di base","42-49","Città fino a 50 mila","Dipendente","Bisessuale","In matrimonio","È difficile da dire"
"2019/06/17 9:53:21 am CET","Sì","Sì","21-50","Sesso anale;Sesso orale;Rimming","nessuno dei precedenti","Sì","Sì, ma solo una volta","Sì, ma solo una volta","Pornografia (film, riviste);Internet;Amici, colleghi","Informare il partner sessuale della possibile infezione con una malattia venerea;conversazione con un partner / coniuge sui possibili rischi;test di controllo periodici per malattie veneree;igiene personale prima e dopo il rapporto sessuale;controlli regolari per l'HIV e l'epatite B;usare un condom","Uomo","Laurea","42-49","Città di 1 milione","Dipendente","Omosessuale","In un matrimonio omosessuale","È difficile da dire"
"2019/06/20 9:35:08 pm CET","Sì","No","6-10","Sesso anale;Sesso orale;Masturbazione;Petting (rapporto senza penetrazione orale, anale e vaginale)","nessuno dei precedenti","Sì","No, perché uso sempre un preservativo","Sì, lo faccio regolarmente più spesso di ogni 3 mesi","Scuola, studi, educazione sessuale;Libri e pubblicazioni scientifiche","Informare il partner sessuale della possibile infezione con una malattia venerea;uso di disinfettanti sulla pelle e sulle mucose;uso di attrezzature usa e getta durante il cosiddetto chemsex;fare contatti sessuali consapevoli;utilizzo di lubrificanti;conversazione con un partner / coniuge sui possibili rischi;conversazione con un partner sessuale prima e / o dopo il rapporto sessuale;test di controllo periodici per malattie veneree;utilizzando PEP (profilassi post-esposizione immediata) - uso temporaneo di farmaci antiretrovirali dopo comportamento sessuale potenzialmente a rischio, il tempo in cui l'infezione da HIV può essersi verificata;osservazione e autoesame genitale;uso del trattamento come prevenzione dell'infezione da HIV (TasP) - efficace terapia anti-retrovirale di un paziente HIV positivo;igiene personale prima e dopo il rapporto sessuale;controlli regolari per l'HIV e l'epatite B;utilizzo di PrEP (profilassi pre-esposizione) - assumere farmaci antiretrovirali regolarmente o temporaneamente prima e dopo il rapporto sessuale per prevenire potenziali infezioni da HIV;sesso con un partner regolare;sesso anale e / o orale;sesso che non conduce all'eiaculazione;uso di contraccettivi","Uomo","Professionale di base","50-57","Villagio","Disoccupati","Bisessuale","Singolo","Per lo più aperte"
"2019/07/18 1:01:48 am CET","Sì","Sì","2-5","Sesso anale","nessuno dei precedenti","Sì","Sì, lo faccio regolarmente ogni 3-6 mesi","Sì, lo faccio regolarmente ogni 3-6 mesi","Scuola, studi, educazione sessuale","Informare il partner sessuale della possibile infezione con una malattia venerea","Uomo","Professionale di base","18-25","Città da 100 a 250 mila","Dipendente","Omosessuale","In una coppia di fatto dello stesso sesso","È difficile da dire"
"2019/11/17 5:33:26 pm CET","Sì","Sì","1","Sesso anale;Sesso orale;Masturbazione","alcool","Sì","Sì, due o tre volte","Sì, due o tre volte","Pornografia (film, riviste);Internet;Amici, colleghi","uso di attrezzature usa e getta durante il cosiddetto chemsex;uso di contraccettivi","Uomo","Professionale di base","26-33","Città da 50 a 100 mila","Dipendente","Omosessuale","In una relazione omosessuale","Chiuse"
