"Timestamp","Czy w ciągu ostatnich 5 lat przynajmniej raz uprawiałaś/-eś seks?","Czy w ciągu ostatnich 5 lat zdarzyło Ci się uprawiać seks bez prezerwatywy?","W ciągu ostatnich 5 lat z iloma mniej więcej partnerami/-kami byłaś/-eś aktywna/-ny seksualnie?","Jakie zachowania seksualne podejmowałaś/-eś w ciągu ostatnich 5 lat? (Wybierz te odpowiedzi które uważasz za słuszne)","W ciągu ostatnich 5 lat uprawiałaś/-eś seks po: (Wybierz te odpowiedzi, które uważasz za słuszne)","Czy uważasz, że temat bezpiecznego seksu dotyczy każdego?","Czy w ciągu ostatnich 5 lat wykonywałaś/-eś badania w kierunku chorób przenoszonych drogą płciową? (Kiła, Chlamydioza, Rzeżączka, Opryszczka narządów płciowych, WZW B, HPV)","Czy w ciągu ostatnich 5 lat robiłaś/-eś test na HIV?","Skąd pochodzi twoja wiedza na temat zachowań i praktyk seksualnych? (Wybierz tyle odpowiedzi ile uważasz za słuszne)","Co oznacza dla Ciebie pojęcie: ""Bezpieczny seks""? (Wybierz te odpowiedzi, które uważasz za słuszne) ","Płeć","Twój wiek mieści się w przedziale:","Jakie masz wykształcenie?","Twoje miejsce zamieszkania to:","Jaka jest Twoja sytuacja zawodowa?","Jaka jest Twoja orientacja seksualna?","Jaki jest Twój obecny status związku?","Opisując Twoje związki z ostatnich 5 lat oraz sytuację obecną, były one:"
"2019/04/08 5:32:32 pm CET","Tak","Tak","nie wiem, nie liczę tego","Seks analny;Seks oralny;Masturbacja;Petting (stosunek bez penetracji oralnej, waginalnej i analnej, wzajemna masturbacja);Fisting","Alkoholu;Poppersie","Tak","Tak, robię to co najmniej raz do roku","Tak, robię to co najmniej raz do roku","Pornografia (filmy, czasopisma);Internet;Przyjaciele, znajomi;Lekarz, pielęgniarka, położna","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;regularne badania kontrolne na choroby weneryczne;stosowanie PEPu (doraźnej profilaktyki poekspozycyjnej);obserwacja i samobadanie narządów płciowych;stosowanie leczenia jako zapobieganie zakażenia HIV (TasP);regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;stosowanie PrEP’u (profilaktyki przedekspozycyjnej)","Mężczyzna","26-33","Wyższe inżynierskie","Miasto od 500 tys. do 1 mln","Pracownik","Homoseksualna","W związku homoseksualnym","Przeważnie otwarte"
"2019/04/08 5:47:07 pm CET","Tak","Tak","z jednym/z jedną stałym/stałą partnerem/-ką","Seks waginalny","Żadne z powyższych","Tak","Nie, nie muszę tego robić, bo od ponad 5 lat mam stałego/-łą partnera/-kę","Tak, ale tylko raz","Szkoła, studia, edukacja seksualna;Rodzice, rodzina, rodzeństwo;Pornografia (filmy, czasopisma);Internet;Przyjaciele, znajomi;Książki i publikacje naukowe","podejmowanie świadomych kontaktów seksualnych;higiena osobista przed i po stosunku;seks z jednym, stałym partnerem","Kobieta","42-49","Średnie","Miasto do 50 tys.","Pracownik","Heteroseksualna","W związku partnerskim","Tylko zamnknięte"
"2019/04/10 7:13:31 pm CET","Tak","Tak","2-5","Seks waginalny;Seks analny;Seks oralny;Masturbacja;Petting (stosunek bez penetracji oralnej, waginalnej i analnej, wzajemna masturbacja)","Alkoholu;Narkotykach;Marihuanie","Tak","Tak, robię to co najmniej raz do roku","Nie, ponieważ jestem zdrowa/-wy. Wiem, bo nic mi nie dolega","Szkoła, studia, edukacja seksualna;Rodzice, rodzina, rodzeństwo;Pornografia (filmy, czasopisma);Internet;Przyjaciele, znajomi;Lekarz, pielęgniarka, położna","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;stosowanie środków dezynfekcyjnych na skórę i błony śluzowe;używanie jednorazowego sprzętu w czasie tzw. chemseksu;podejmowanie świadomych kontaktów seksualnych;używanie lubrykantów;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;rozmowa z partnerem seksualnym przed i/lub po stosunku;regularne badania kontrolne na choroby weneryczne;obserwacja i samobadanie narządów płciowych;stosowanie leczenia jako zapobieganie zakażenia HIV (TasP);higiena osobista przed i po stosunku;używanie prezerwatywy;seks z jednym, stałym partnerem;stosunek przerywany;stosowanie środków antykoncepcyjnych","Mężczyzna","18-25","Średnie","Wieś","Pracownik","Heteroseksualna","W związku heteroseksualnym","Tylko zamnknięte"
"2019/04/10 7:21:39 pm CET","Tak","Tak","z jednym/z jedną stałym/stałą partnerem/-ką","Seks waginalny;Seks analny;Seks oralny;Fisting","Alkoholu","Tak","Nie, nie muszę tego robić, bo od ponad 5 lat mam stałego/-łą partnera/-kę","Tak, ale tylko raz","Pornografia (filmy, czasopisma);Internet;Książki i publikacje naukowe","rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;obserwacja i samobadanie narządów płciowych;higiena osobista przed i po stosunku;używanie prezerwatywy;seks z jednym, stałym partnerem;stosunek przerywany;seks nieprowadzący do ejakulacji;stosowanie środków antykoncepcyjnych","Mężczyzna","42-49","Średnie","MIasto od 50 do 100 tys.","Pracownik","Heteroseksualna","W małżeństwie","Tylko zamnknięte"
"2019/04/10 7:51:43 pm CET","Tak","Tak","z jednym/z jedną stałym/stałą partnerem/-ką","Seks waginalny","Żadne z powyższych","Tak","Tak, ale tylko raz","Tak, ale tylko raz","Książki i publikacje naukowe","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;podejmowanie świadomych kontaktów seksualnych;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;higiena osobista przed i po stosunku;używanie prezerwatywy;seks z jednym, stałym partnerem","Mężczyzna","34-41","Średnie","MIasto od 50 do 100 tys.","Pracownik","Heteroseksualna","W małżeństwie","Tylko zamnknięte"
"2019/04/10 8:31:24 pm CET","Tak","Tak","z jednym/z jedną stałym/stałą partnerem/-ką","Seks waginalny;Seks oralny","Alkoholu","Tak","Nie, nie muszę tego robić, bo od ponad 5 lat mam stałego/-łą partnera/-kę","Nie, nie muszę tego robić, bo od ponad 5 lat mam stałego/-łą partnera/-kę","Szkoła, studia, edukacja seksualna;Lekarz, pielęgniarka, położna","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;podejmowanie świadomych kontaktów seksualnych;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;rozmowa z partnerem seksualnym przed i/lub po stosunku;obserwacja i samobadanie narządów płciowych;higiena osobista przed i po stosunku;seks z jednym, stałym partnerem","Kobieta","26-33","Wyższe magisterskie","MIasto od 50 do 100 tys.","Pracownik","Heteroseksualna","W małżeństwie","Tylko zamnknięte"
"2019/04/11 10:23:03 am CET","Tak","Nie","6-10","Seks analny;Seks oralny","Żadne z powyższych","Tak","Tak, robię to regularnie częściej niż co 3 miesiące","Tak, robię to regularnie częściej niż co 3 miesiące","Szkoła, studia, edukacja seksualna;Książki i publikacje naukowe","higiena osobista przed i po stosunku;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;seks z jednym, stałym partnerem","Mężczyzna","42-49","Wyższe magisterskie","Miasto pow. 1 mln","Pracownik","Homoseksualna","W związku partnerskim jednopłciowym","Tylko zamnknięte"
"2019/04/11 10:25:52 am CET","Tak","Tak","11-20","Seks analny;Seks oralny;Masturbacja;Petting (stosunek bez penetracji oralnej, waginalnej i analnej, wzajemna masturbacja)","Alkoholu;Narkotykach;Marihuanie;Poppersie","Tak","Tak, robię to regularnie częściej niż co 3 miesiące","Tak, robię to regularnie częściej niż co 3 miesiące","Internet;Przyjaciele, znajomi","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;podejmowanie świadomych kontaktów seksualnych;używanie lubrykantów;rozmowa z partnerem seksualnym przed i/lub po stosunku;regularne badania kontrolne na choroby weneryczne;obserwacja i samobadanie narządów płciowych;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;stosowanie PrEPu (profilaktyki przedekspozycyjnej)","Mężczyzna","26-33","Wyższe magisterskie","Miasto od 500 tys. do 1 mln","Pracownik","Homoseksualna","W związku partnerskim jednopłciowym","Ciężko powiedzieć"
"2019/04/11 10:26:53 am CET","Tak","Tak","pow. 100","Seks analny;Seks oralny","Poppersie","Tak","Nie, ponieważ wszyscy/-tkie moi/moje partnerzy/-ki byli/były zdrowi/-e","Nie, ponieważ jestem zdrowa/-wy. Wiem, bo nic mi nie dolega","Szkoła, studia, edukacja seksualna;Rodzice, rodzina, rodzeństwo;Pornografia (filmy, czasopisma);Internet;Przyjaciele, znajomi;Lekarz, pielęgniarka, położna","podejmowanie świadomych kontaktów seksualnych;stosowanie leczenia jako zapobieganie zakażenia HIV (TasP);regularne badania kontrolne na HIV i WZW B","Mężczyzna","26-33","Średnie","Miasto od 500 tys. do 1 mln","Pracownik","Homoseksualna","W związku homoseksualnym","Tylko otwarte"
"2019/04/11 10:27:04 am CET","Tak","Tak","pow. 100","Seks analny;Seks oralny","Poppersie","Tak","Nie, ponieważ wszyscy/-tkie moi/moje partnerzy/-ki byli/były zdrowi/-e","Nie, ponieważ jestem zdrowa/-wy. Wiem, bo nic mi nie dolega","Szkoła, studia, edukacja seksualna;Rodzice, rodzina, rodzeństwo;Pornografia (filmy, czasopisma);Internet;Przyjaciele, znajomi;Lekarz, pielęgniarka, położna","podejmowanie świadomych kontaktów seksualnych;stosowanie leczenia jako zapobieganie zakażenia HIV (TasP);regularne badania kontrolne na HIV i WZW B","Mężczyzna","26-33","Średnie","Miasto od 500 tys. do 1 mln","Pracownik","Homoseksualna","W związku homoseksualnym","Tylko otwarte"
