"Timestamp","Você fez sexo nos últimos 5 anos?","Nos últimos 5 anos, teve relações sexuais sem preservativo?","Com quantos parceiros teve relações sexuais nos últimos 5 anos?","Que práticas sexuais realizou nos últimos 5 anos? (Escolha todas as opções que se apliquem)","Nos últimos 5 anos, teve relações sexuais depois de consumir: (Escolha todas as opções que se apliquem)","Considera que sexo seguro é algo a levar em consideração por todos?","Nos últimos 5 anos, fez análises a DSTs (doenças sexualmente transmissíveis)? (sífilis, clamídia, gonorréia, trato genital, hepatite, hpv)","Nos últimos 5 anos, fez análises a VIH (Vírus da Imunodeficiência humana)?","Onde aprendeu o que sabe sobre comportamentos e práticas sexuais? (Escolha todas as opções que se apliquem)","O que é, para si, sexo seguro? (Escolha todas as opções que se apliquem)","Sexo","Qual é o seu nível de educação?","Qual é a sua idade?","A sua área de residência é…","Qual é a sua situação profissional?","Qual é a sua orientação sexual?","Qual o seu estado civil?","Como descreveria as suas relações nos últimos 5 anos?"
"2019/04/13 7:59:13 pm CET","Sim","Não","11-20","Sexo anal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Nenhum","Sim","Sim, faço, pelo menos, uma vez por ano.","Sim, faço, pelo menos, uma vez por ano.","Escola e educação sexual.;Internet;Amogis e colegas;Livros e publicações científicas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Usar lubrificante.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Usar PEP (profilaxia pós-exposição);Auto observação e análise genital;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo","Homem","Secundária","34-41","Uma cidade que tem entre 500.000 a 1 milhão habitantes.","Empresário","Homossexual","Casado com alguém do mesmo sexo","Abertas"
"2019/04/17 1:41:21 pm CET","Sim","Sim","6-10","Sexo anal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool","Sim","Sim, faço, pelo menos, uma vez por ano.","Sim, faço, pelo menos, uma vez por ano.","Escola e educação sexual.;Pornografia (filmes e revistas);Internet;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Tomar PrEP (profilaxia pre-exposição)","Homem","Licenciatura","26-33","Uma cidade com mais de 1 milhão de habitantes.","Empregado","Homossexual","Em união de facto com alguém do mesmo sexo","Maioritariamente abertas"
"2019/04/17 1:56:15 pm CET","Sim","Sim","Mais de 100","Sexo anal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool;Drogas;Opiáceos e / ou benzodiazepínicos","Sim","Sim, faço regularmente, com um intervalo de três a seis meses.","Sim, faço regularmente, com um intervalo de três a seis meses.","Escola e educação sexual.;Familia;Pornografia (filmes e revistas);Internet;Livros e publicações científicas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Usar métodos contracetivos","Homem","Secundária","18-25","Uma cidade que tem entre 500.000 a 1 milhão habitantes.","Empregado","Homossexual","Numa relação homossexual","Abertas"
"2019/04/17 1:59:00 pm CET","Não","","","","","","","","","","","","","","","","",""
"2019/04/17 2:00:42 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool","Sim","Sim, faço, pelo menos, uma vez por ano.","Sim, fiz uma vez.","Escola e educação sexual.;Familia;Livros e publicações científicas","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Usar PEP (profilaxia pós-exposição);Auto observação e análise genital;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Tomar PrEP (profilaxia pre-exposição);Usar métodos contracetivos","Mulher","Mestrado","18-25","Uma cidade que tem entre 500.000 a 1 milhão habitantes.","Estudante universitário","Bissexual","Numa relação heterossexual","Maioritariamente fechadas"
"2019/04/17 2:05:52 pm CET","Sim","Sim","Com um parceiro","Sexo vaginal;Sexo anal;Sexo oral;Masturbação","Não ","Sim","Sim, faço regularmente, com um intervalo de três a seis meses.","Sim, faço regularmente, com um intervalo de três a seis meses.","Escola e educação sexual.;Livros e publicações científicas","Informar o parceiro sexual de uma possível infeção.;Usar utensílios descartáveis na prática de sexo com “Chemsex”;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Usar de preservativo","Mulher","Mestrado","34-41","Uma cidade que tem entre 250.000 a 500.000 habitantes.","Empregado","Heterossexual","Casado com alguém do sexo oposto","Fechadas"
"2019/04/17 2:07:12 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Marijuana","Sim","Não, todos os meus parceiros são saudáveis.","Não, todos os meus parceiros são saudáveis.","Escola e educação sexual.;Internet;Livros e publicações científicas","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Auto observação e análise genital;Higiene pessoal antes e depois de ter relações sexuais;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade que tem entre 500.000 a 1 milhão habitantes.","Estudante universitário","Homossexual","Numa relação homossexual","Maioritariamente fechadas"
"2019/04/17 2:09:10 pm CET","Sim","Não","2-5","Sexo vaginal;Sexo oral;Masturbação","Álcool","Sim","Sim, faço, pelo menos, uma vez por ano.","Sim, fiz uma vez.","Escola e educação sexual.;Livros e publicações científicas","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Usar PEP (profilaxia pós-exposição);Análises regulares a VIH e Hepatite B;Usar de preservativo","Mulher","Licenciatura","26-33","Uma cidade que tem entre 50.000 a 100.000 habitantes.","Empregado","Heterossexual","Em união de facto com alguém do sexo oposto","Maioritariamente fechadas"
"2019/04/17 2:09:24 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool;Drogas;Marijuana","Sim","Sim, fiz uma vez.","Sim, fiz duas ou três vezes.","Escola e educação sexual.;Pornografia (filmes e revistas);Internet;Amogis e colegas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Usar PEP (profilaxia pós-exposição);Auto observação e análise genital;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Usar métodos contracetivos","Mulher","Secundária","18-25","Uma cidade que tem entre 500.000 a 1 milhão habitantes.","Estudante universitário","Heterossexual","Solteira","Fechadas"
"2019/04/17 2:10:13 pm CET","Sim","Não","6-10","Sexo anal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool;Poppers","Sim","Não, uso sempre preservativo.","Não, uso sempre preservativo.","Pornografia (filmes e revistas);Internet","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Usar lubrificante.;Fazer análises a DSTs regularmente.;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Usar de preservativo;Usar métodos contracetivos","Homem","Licenciatura","18-25","Uma cidade que tem entre 500.000 a 1 milhão habitantes.","Estudante universitário","Homossexual","Solteiro ","É complicado"
